com.main.Main 				21 baris
com.database.Database 			1039 baris
com.database.Account 			628 baris
com.database.CovidCases 			517 baris
com.media.audio.Audio 			89 baris
com.media.gambar.Gambar 			94 baris
com.window.all.LoadingWindow 		241 baris
com.window.all.SignIn 			461 baris
com.window.all.SignUp 			509 baris
com.window.all.UbahPassword 		524 baris
com.window.all.Beranda 			1296 baris
com.window.all.ApaCovid 			830 baris
com.window.all.BahayaCovid 			830 baris
com.window.all.GejalaCovid 			830 baris
com.window.all.PenangananCovid 		830 baris
com.window.all.PencegahanCovid 		830 baris
com.window.all.KasusCovidDunia 		859 baris
com.window.all.KasusCovidIndo 		976 baris
com.window.all.AboutApp 			1980 baris
com.window.admin.DataAplikasi 		1653 baris
com.window.admin.UpdateUser 		1480 baris
com.window.admin.UpdateCovidDunia 		1452 baris
com.window.admin.UpdateCovidIndo 		1445 baris

19414
